titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Let It Be,Beatles,1970,7iN1s7xHE4ifF5povM6A48,27,37,40,47,23,41,55,58,57,49,54,46,56,52,39,50,51,68,79,53,53
Brothers In Arms,Dire Straits,1985,4yqtwO7MQIIXqoiRBPHAgR,28,22,7,9,11,15,19,20,19,13,21,19,15,11,11,14,15,19,17,15,17
Brothers In Arms,Dire Straits,1985,4yqtwO7MQIIXqoiRBPHAgR,28,22,7,9,11,15,19,20,19,13,21,19,15,11,11,14,15,19,17,15,173
Money For Nothing,Dire Straits,1985,4yqtwO7MQIIXqoiRBPHAgR,331,443,325,252,198,306,279,304,303,268,262,255,225,215,195,234,207,193,186,158,17
Money For Nothing,Dire Straits,1985,4yqtwO7MQIIXqoiRBPHAgR,331,443,325,252,198,306,279,304,303,268,262,255,225,215,195,234,207,193,186,158,173
Sympathy For The Devil,Rolling Stones,1973,1Ud6moTC0KyXMq1Oxfien0,29,34,44,28,14,26,38,45,59,38,43,43,46,50,35,37,46,60,51,49,65
Who Wants To Live Forever,Queen,1986,00QAndVDVfNqNWYdWAhEan,30,23,34,22,45,50,74,74,120,62,77,87,94,134,100,100,99,86,107,74,74
Everybody Hurts,R.E.M.,1993,6PypGyiu0Y2lCDBN1XZEnP,31,,50,61,58,61,58,66,99,68,76,66,59,101,122,138,138,140,144,166,181
Over De Muur,Klein Orkest,1984,2jV28FCpmVQNbgcC5a5D7A,32,38,54,50,59,56,48,47,64,52,47,56,83,71,84,60,76,81,45,60,30
Paint It Black,Rolling Stones,1966,63T7DJ1AFDD6Bn8VzG6JE8,33,48,62,60,54,54,68,57,107,63,65,63,82,43,49,57,50,61,67,48,47
Africa,Toto,1982,2374M0fQpWi3dLnB54qaLX,34,49,33,39,52,63,70,75,110,66,100,97,87,62,28,51,42,30,25,8,11
The Winner Takes It All,ABBA,1980,2HeTmGTjl870ucJ8mF7zl5,35,92,106,103,77,133,113,140,94,107,121,104,176,201,197,135,174,165,192,176,182
Het Dorp,Wim Sonneveld,1974,4HWOyz21zZDbHe3mMukrFJ,36,32,39,38,48,47,44,29,53,42,40,40,57,69,36,39,45,55,62,64,25
Candle In The Wind '97,Elton John,1997,0P5vVASbVxf54XSUY1WCMq,37,80,293,405,424,372,429,357,376,351,610,475,650,806,777,899,816,888,892,1038,821
Kayleigh,Marillion,1985,1Dsd1Nu06UbNmelEhPxKgB,38,55,68,73,66,103,121,115,154,111,173,198,217,159,174,163,172,191,173,195,221
No Woman No Cry (Live),Bob Marley & The Wailers,1975,423hwXFgoN8RYmqLoLuVvY,39,63,92,93,75,70,93,113,79,86,106,54,79,141,156,233,270,223,257,269,339
Testament,Boudewijn De Groot,1967,6J1orzdlXIAZOlZl21SWY6,40,41,51,31,31,31,31,42,54,39,86,92,130,170,202,211,249,247,277,256,197
My Heart Will Go On,Celine Dion,1998,33LC84JgLvK2KuW43MfaNq,41,89,209,238,354,334,400,419,326,337,559,562,637,598,849,922,828,1129,1243,978,1081
I'm Not In Love,10cc,1975,5HQEmiV2lKnSO6qa2fsR7x,42,53,27,53,50,64,71,95,60,64,138,437,154,272,404,290,368,372,247,473,551
When The Lady Smiles,Golden Earring,1984,6RGmi17H0xpHb7hpMxFwip,43,52,84,89,98,96,81,111,165,109,136,135,138,177,146,161,161,115,119,142,118
Niet Of Nooit Geweest,Acda & De Munnik,1998,4439gDsZasiXC4mGpw6yJc,44,40,48,36,74,87,94,150,108,93,272,243,254,447,542,479,435,486,550,667,684
Summer Of '69,Bryan Adams,1984,0GONea6G2XdnHWjNZd6zt3,45,43,94,51,57,59,88,109,98,77,139,131,107,145,167,197,147,150,145,148,134
Bright Eyes,Art Garfunkel,1979,3Jy0dWV5AnnfyTvHK6UWof,46,51,53,100,137,120,154,222,140,136,347,223,281,455,470,631,596,624,612,698,699
The Rose,Bette Midler,1980,562JrM9b7jiu8LgzV62x3o,47,35,30,43,44,36,32,34,24,27,33,29,35,86,105,85,100,94,97,177,193
The River,Bruce Springsteen,1981,1KsI8NEeAna8ZIdojI3FiT,48,33,26,19,30,20,27,40,11,21,30,30,10,15,7,16,17,14,19,21,19
The River,Bruce Springsteen,1981,1KsI8NEeAna8ZIdojI3FiT,48,33,26,19,30,20,27,40,11,21,30,30,10,15,7,16,17,14,19,21,1254
Hungry Heart,Bruce Springsteen,1980,1KsI8NEeAna8ZIdojI3FiT,,,,,,,,,,,1523,1231,1303,1266,1010,1046,1325,1123,1386,1390,19
Hungry Heart,Bruce Springsteen,1980,1KsI8NEeAna8ZIdojI3FiT,,,,,,,,,,,1523,1231,1303,1266,1010,1046,1325,1123,1386,1390,1254
The Sound Of Silence,Simon & Garfunkel,1966,5y788ya4NvwhBznoDIcXwK,49,71,61,64,76,85,101,81,153,92,82,74,58,70,32,42,44,23,28,26,28
Thank You For The Music,ABBA,1978,1HNWHQqLxjI2LXnlIY9DTR,50,201,264,267,248,210,170,243,137,178,284,310,409,374,460,376,401,378,432,438,416
With Or Without You,U2,1987,6ADSaE87h8Y3lccZlBJdXH,51,26,52,35,40,38,47,48,48,46,62,62,86,53,47,45,56,59,41,52,55
Good Vibrations,Beach Boys,1966,5t9KYe0Fhd5cW6UYT4qP8f,52,54,75,83,85,73,91,117,68,83,98,105,116,245,265,253,313,217,221,448,532
Whole Lotta Rosie,AC/DC,1978,4wYq5wugZDzQiMZQYG4wVB,53,29,15,13,19,17,21,33,12,18,17,28,34,45,64,43,53,73,59,73,81
Purple Rain,Prince & The Revolution,1984,54X78diSLoUDI3joC2bjMz,54,90,160,120,160,104,152,126,148,132,169,79,80,74,77,71,62,13,18,25,24
(Everything I Do) I Do It For You,Bryan Adams,1991,6eBK3edMW7bEzecF1eCezc,55,69,63,131,128,153,220,208,229,166,483,459,469,197,581,660,593,784,787,703,685
I Put A Spell On You,Creedence Clearwater Revival,1972,4SDywo3ykB2PEthjXvo1UP,56,36,38,54,53,49,56,60,61,54,83,53,77,132,152,143,152,148,157,190,187
Private Investigations,Dire Straits,1982,0SqUwlygrVkMWkplNvvld1,57,19,14,7,17,24,29,31,35,25,37,36,47,49,66,70,67,67,69,80,87
Pride (In The Name Of Love),U2,1984,3dh2LlmeMqKJbzn2WUgt3d,58,47,130,126,182,125,140,137,171,135,217,250,253,239,283,347,294,362,419,258,231
Space Oddity,David Bowie,1969,72Z17vmmeQKAg8bptWvpVG,59,75,144,104,135,78,191,205,278,156,156,185,202,205,161,130,139,38,76,81,92
Light My Fire,Doors,1967,5uvosCdMlFdTXhoazkTI5R,60,99,129,113,96,126,157,166,218,143,201,222,203,196,229,289,357,377,404,529,539
Sebastian,Cockney Rebel,1973,16889jRQ2uzOeDSHaMRLIw,61,84,49,76,90,92,116,146,151,120,191,172,170,244,334,377,414,495,566,784,768
Dreadlock Holiday,﻿10cc,1978,1LOZMYF5s8qhW7Rv4w2gun,62,61,43,45,41,52,59,61,37,47,113,303,91,214,298,192,285,261,223,528,598
Halo Of Flies,Alice Cooper,1973,26uVP8g7Uijo0zuN22De3x,63,24,19,21,35,39,57,78,56,51,91,85,109,167,191,209,253,288,268,452,535
Go Your Own Way,Fleetwood Mac,1977,6a8lrLzRrDIZrraH7qOnmb,64,67,73,71,69,79,77,94,102,85,63,67,71,81,41,30,40,43,33,42,43
Stil In Mij,Van Dik Hout,1994,3xOiF0xnt47PgOwprICudF,65,70,85,49,38,35,53,50,58,48,59,51,52,92,95,91,86,93,95,130,105
Ne Me Quitte Pas,Jacques Brel,1965,6IRA4KOVbtiGiTdYoEThJN,66,195,134,133,101,113,86,82,88,90,94,72,118,130,93,150,156,174,217,278,415
Wuthering Heights,Kate Bush,1978,5YSI1311X8t31PBjkBG4CZ,67,77,96,95,116,93,99,119,111,102,101,102,132,144,164,117,128,118,120,126,140
Paranoid,Black Sabbath,1970,1Y373MqadDRtclJNdnUXVc,68,,79,52,42,58,96,124,105,80,112,114,103,88,71,104,123,113,111,133,135
Mr. Blue Sky,Electric Light Orchestra,1978,2RlgNHKcydI9sayD2Df2xp,69,59,42,68,80,90,73,84,112,81,85,88,92,115,85,90,58,79,55,51,62
Heroes,David Bowie,1977,7Jh1bpe76CNTCgdgAdBw4Z,70,62,77,63,71,99,137,125,130,112,123,112,145,119,79,34,60,7,11,17,27
Year Of The Cat,Al Stewart,1977,7MTX3vevnm41xuEoPxWT3j,71,60,36,55,63,77,83,127,78,79,198,169,241,358,380,414,448,440,415,600,656
In The Air Tonight,Phil Collins,1981,18AXbzPzBS8Y3AkgSxzJPb,72,127,81,81,56,75,106,102,143,95,109,113,115,102,106,97,87,54,48,41,48
De Vlieger,André Hazes,1977,6TMKJlY7W1D6WHQaJ7BsDJ,73,,60,82,78,51,69,87,67,70,196,159,234,220,333,406,395,405,379,344,298
Last Christmas,Wham,1984,2FRnf9qhLbvw8fu4IBXx78,74,139,263,292,447,286,467,358,437,359,416,443,631,930,743,628,547,530,366,484,332
I Still Haven't Found What I'm Looking For,U2,1987,6wpGqhRvJGNNXwWlPmkMyO,75,,97,88,118,111,92,72,73,84,102,107,102,121,116,124,132,142,123,128,121
The Day Before You Came,ABBA,1982,6W26h4KbGUnEaav5VWIyJm,76,73,65,65,55,91,65,104,44,57,78,91,139,191,183,133,215,275,273,315,317
Hey Joe,Jimi Hendrix Experience,1967,0NWPxcsf5vdjdiFUI8NgkP,77,105,182,163,167,151,174,196,220,170,179,204,161,203,215,343,360,428,437,366,446
We Are The Champions,Queen,1977,7ccI9cStQbQdystvc6TvxD,78,128,319,223,267,247,222,271,655,301,424,470,412,601,555,672,579,543,583,216,251
Money,Pink Floyd,1973,0vFOzaXqZHahrZp6enQwQb,79,197,219,293,230,326,245,214,347,248,291,290,264,211,271,323,398,416,402,362,382
Pastorale,Ramses Shaffy & Liesbeth List,1969,43prrW2Xmg8zfDeq11UGnj,80,119,58,40,51,43,33,24,51,40,6,21,27,46,42,47,71,69,86,106,73
Thriller,Michael Jackson,1983,5ChkMS8OtdzJeqyybCc9R5,81,187,162,239,340,309,408,246,506,324,52,126,144,181,176,212,205,176,147,113,191
Somebody To Love,Queen,1976,6cFZ4PLC19taNlpl9pbGMf,82,65,88,74,104,119,126,129,150,122,134,116,104,87,91,81,65,58,66,33,42
A Day In The Life,Beatles,1967,0hKRSZhUGEhKU6aNSPBACZ,83,66,87,98,122,127,107,76,49,75,71,75,78,82,126,148,167,241,165,247,
With A Little Help From My Friends,Joe Cocker,1968,0YZ3J8xzGwLOg4yEgST1YK,84,287,148,169,238,159,180,179,335,193,233,225,201,338,311,364,220,299,286,348,297
I Want To Break Free,Queen,1984,7h2yhVxcZOGyQdOwD4Hu8J,85,123,177,108,121,108,129,121,172,130,183,195,126,231,235,219,219,224,265,118,145
Total Eclipse Of The Heart,Bonnie Tyler,1983,5prTs2HAw2G4idHZyeFp8o,86,133,142,124,215,208,264,352,316,245,486,478,503,629,579,645,664,647,619,480,481
Nikita,Elton John,1985,3G0ENKW9vzV0SuYKaWFflI,87,143,181,368,396,289,410,346,359,335,669,506,737,1046,917,837,973,996,786,860,776
Roxanne,Police,1979,3EYOJ48Et32uATr9ZmLnAo,88,186,217,221,309,232,391,363,341,303,249,207,210,219,201,287,299,233,228,187,239
Careless Whisper,George Michael,1984,4jDmJ51x1o9NZB5Nxxc7gY,89,275,288,226,517,469,625,425,580,469,545,691,691,546,721,648,710,614,232,204,236
Nothing Compares 2u,Sinead O'Connor,1990,6xGtnKOUUfmoBchjLAxbif,90,115,200,216,126,172,247,224,343,203,254,269,300,348,364,327,394,361,323,282,289
Wonderful Tonight,Eric Clapton,1988,6zC0mpGYwbNTpk9SKwh08f,91,214,116,156,180,150,124,153,191,146,251,239,274,349,321,325,361,392,383,455,461
Woman In Love,Barbra Streisand,1980,1pTGc8pwyo6xtgXBKCBcFn,92,157,176,196,193,219,173,229,156,176,246,242,453,755,661,536,672,630,542,842,1115
Mama,Genesis,1983,6kIwzLSiQU51taaaZ9zWSE,93,107,93,102,113,143,148,177,232,150,163,188,211,227,231,215,233,225,175,342,334
Blowin' In The Wind,Bob Dylan,1963,18GiV1BaXzPVYpp9rmOg0E,94,147,179,195,211,194,205,188,168,173,210,199,262,317,331,488,412,417,549,605,653
Dust In The Wind,Kansas,1978,6zeE5tKyr8Nu882DQhhSQI,95,183,338,161,127,227,210,221,254,197,311,375,330,250,219,224,213,235,214,263,275
Eternal Flame,Bangles,1989,5MoDQWMDMaAGDEiWsJfeCi,96,138,104,199,244,205,334,440,383,295,431,427,546,835,814,666,774,662,775,1120,1300
Strawberry Fields Forever,Beatles,1967,3Am0IbOxmvlSXro7N5iSfZ,97,131,180,214,207,259,261,187,183,189,204,247,271,308,301,395,322,387,505,587,548
Against All Odds (Take A Look At Me Now),Phil Collins,1984,63CHa6rmamv9OsehkRD8oz,98,152,132,153,159,170,238,230,395,215,274,308,394,240,307,370,393,352,282,320,269
Every Breath You Take,Police,1983,1JSTJqkT5qHq8MDJnJbRE1,99,166,167,184,259,284,434,403,412,340,381,351,345,356,210,330,386,318,290,286,
Eloise,Barry Ryan,1968,1svB1gR5yFsNgoBxRevt3n,100,97,83,117,108,141,127,145,70,110,258,261,365,410,553,566,707,805,851,1134,1124
Waterloo,ABBA,1974,0RzhMHIsFMbOGh0oWDvNNK,101,182,467,607,605,512,299,546,419,452,701,728,918,783,836,890,772,742,660,413,438
Verdronken Vlinder,Boudewijn De Groot,1966,1IODGOhu2nUD36SR1SRSFT,102,95,95,72,47,65,51,62,63,55,105,109,153,238,232,251,298,300,360,398,262
Jeanny,Falco,1985,6a0lr0jt8lKDJhsAYA49NS,103,58,67,70,94,101,143,141,207,133,188,182,169,165,193,132,153,107,102,131,168
If You Leave Me Now,Chicago,1976,0KMGxYKeUzK9wc5DZCt3HT,104,103,103,119,218,165,214,250,222,194,288,252,383,634,677,627,716,550,597,806,858
32 Jaar (Sinds 1 Dag Of 2),Doe Maar,1981,3IbkWFHKCQp1Y7oLjeQgGv,105,203,367,366,338,363,424,449,450,395,509,566,439,172,531,678,584,605,626,461,497
"Non, Je Ne Regrette Rien",Edith Piaf,1961,3dkIE8P7hvl3tHl9KSb6dA,106,234,403,507,312,313,309,236,158,224,277,328,263,413,363,427,460,622,582,577,813
All Along The Watchtower,Jimi Hendrix Experience,1968,2aoo2jlRnM3A0NyLQqMN2f,107,130,242,146,146,136,162,158,147,142,120,138,131,123,97,156,160,179,179,137,195
Stayin' Alive,Bee Gees,1978,3mRM4NM8iO7UBqrSigCQFH,108,153,101,255,284,277,409,434,503,357,489,407,455,633,533,579,525,399,388,481,522
Stayin' Alive,Bee Gees,1978,3mRM4NM8iO7UBqrSigCQFH,108,153,101,255,284,277,409,434,503,357,489,407,455,633,533,579,525,399,388,481,1372
Night Fever,Bee Gees,1978,3mRM4NM8iO7UBqrSigCQFH,461,353,241,539,740,618,880,861,799,718,1136,1150,1138,1011,1310,1619,1348,1108,1231,1287,522
Night Fever,Bee Gees,1978,3mRM4NM8iO7UBqrSigCQFH,461,353,241,539,740,618,880,861,799,718,1136,1150,1138,1011,1310,1619,1348,1108,1231,1287,1372
Con Te Partiro,Andrea Bocelli,1996,7zrpoAJte9o12TzawqgdD0,109,,155,251,364,248,326,373,135,228,755,493,556,735,706,898,697,724,779,912,994
Hello,Lionel Richie,1984,0mHyWYXmmCB9iQyK18m3FQ,110,267,351,430,480,305,550,489,694,483,666,665,682,753,905,894,912,1044,1023,1191,1082
In The Ghetto,Elvis Presley,1969,7KWoeBqSdZHEloYKVxssfG,111,163,247,168,112,158,114,157,186,140,203,216,245,292,266,321,261,248,203,241,210
Suspicious Minds,Elvis Presley,1969,1H5IfYyIIAlgDX8zguUzns,112,140,281,130,86,107,84,97,81,89,108,77,120,135,153,151,121,106,85,104,111
Another Day In Paradise,Phil Collins,1989,1NCuYqMc8hKMb4cpNTcJbD,113,253,233,225,166,207,250,323,567,281,436,439,367,322,286,392,413,406,390,316,344
"Welterusten, Mijnheer De President",Boudewijn De Groot,1966,3HmBoZWm4Giq4xloOYxL8E,114,126,71,91,70,68,85,80,96,78,160,194,219,457,362,460,421,400,474,485,490
My Way,Frank Sinatra,1969,3spdoTYpuCpmq19tuD0bOe,115,449,377,331,422,412,423,308,363,353,459,444,404,387,368,407,373,359,340,371,308
Papa,Stef Bos,1991,6NP6BCW2M2I4vdcnXMAvjl,116,86,98,87,65,94,43,28,43,44,72,84,51,75,80,101,109,116,91,94,70
Papa,Stef Bos,1991,6NP6BCW2M2I4vdcnXMAvjl,116,86,98,87,65,94,43,28,43,44,72,84,51,75,80,101,109,116,91,94,767
Is Dit Nu Later,Stef Bos,1990,6NP6BCW2M2I4vdcnXMAvjl,,,,,,,,,,,,,,,,,1949,800,942,820,70
Is Dit Nu Later,Stef Bos,1990,6NP6BCW2M2I4vdcnXMAvjl,,,,,,,,,,,,,,,,,1949,800,942,820,767
Dromen Zijn Bedrog,Marco Borsato,1994,2o4iWZOFE8kkl0tK66WADw,117,283,255,488,465,202,274,225,403,275,356,735,820,957,1065,1145,986,1357,1605,1290,1287
How Deep Is Your Love,Bee Gees,1977,5mFsCguqfdIOTGS0Vy5YUj,118,196,146,271,260,260,300,350,354,289,562,451,525,561,617,683,654,496,516,629,672
Born In The Usa,Bruce Springsteen,1985,0yJqMTbkajyRhmwSjCd8Kq,119,158,122,111,214,183,254,282,258,214,293,266,249,273,309,489,489,389,466,417,397
In Nije Dei,De Kast,1997,0M7N866lTEPVt22pNb4ngO,120,108,126,197,405,441,413,368,275,325,411,249,416,663,511,615,734,769,907,911,835
Piano Man,Billy Joel,1974,70C4NyhjD5OZUMzvWZ3njJ,121,83,57,58,60,66,49,54,34,50,45,45,29,36,18,7,6,4,4,3,3
Troy,Sinead O'Connor,1987,6m3kJ6d7Ypd1eoBoGP2qZN,122,72,124,123,131,140,177,195,268,162,221,254,273,275,267,248,278,278,260,314,250
God Only Knows,Beach Boys,1966,6iGU74CwXuT4XVepjc9Emf,123,117,137,110,117,88,80,68,42,59,20,20,31,44,59,13,19,18,29,46,59
I Was Made For Loving You,KISS,1979,51JCXxUEbnCm4vslT79mlw,124,173,205,152,184,166,283,378,479,270,317,390,390,375,348,332,397,380,400,312,
Heart Of Gold,Neil Young,1972,1InEE4O5225Pp7oy5lGBmR,125,155,145,148,153,174,202,165,228,169,175,157,196,187,157,187,222,205,207,240,271
Oerend Hard,Normaal,1977,3d8KtuxdO6kba5qzRcbqlk,126,149,169,106,95,117,82,107,119,101,226,214,302,256,275,271,186,336,343,330,88
Samba Pa Ti,Santana,1970,35fC3Wq3slX4OBfyvBVmHm,127,150,153,176,188,177,182,184,257,182,161,154,221,276,295,216,273,196,236,423,436
Teach Your Children,"Crosby, Stills, Nash & Young",1970,29HaKOpeLSYvqdFyEQSRdj,128,145,78,150,130,142,159,160,199,149,237,208,325,628,513,751,776,498,640,681,698
The Final Countdown,Europe,1986,3MrRksHupTVEQ7YbA0FsZK,129,87,166,180,202,189,227,283,452,247,538,497,545,519,436,589,566,568,523,426,587
Lola,Kinks,1970,0UAJH0k4k3slcE83a9UGCe,130,85,156,205,181,188,265,227,361,222,242,245,276,424,346,375,569,688,637,,
I Will Always Love You,Whitney Houston,1992,4eHbdreAnSOrDDsFfc4Fpm,131,405,476,551,537,463,636,513,483,505,505,534,687,401,433,446,381,453,484,447,617
Take On Me,A-Ha,1985,2WfaOiMkCvy7F5fcp2zZ8L,132,68,72,79,145,146,147,247,179,152,345,293,308,368,394,284,227,178,156,321,331
Under Pressure,David Bowie & Queen,1981,7mMMywPtAdNfJz9iQtOSwk,133,265,332,185,308,273,345,493,524,376,229,352,324,265,192,193,201,87,101,38,54
Living Doll,Cliff Richard & The Young Ones,1986,5ReusEyUcwP0DAxBK0maZr,134,371,374,450,1008,696,967,1081,1103,887,916,973,1049,1574,1160,1314,1433,1490,1661,1766,1821
Owner Of A Lonely Heart,Yes,1983,0GTK6TesV108Jj5D3MHsYb,135,94,86,101,165,221,233,318,374,235,270,348,361,364,406,379,389,412,458,662,747
Fragile,Sting,1988,5oE6INocVL9viDow5y8QNM,136,249,99,118,99,105,98,90,115,98,117,110,111,78,74,86,95,102,110,155,150
Zelfs Je Naam Is Mooi,Henk Westbroek,1998,5RWOzvrzPQnt5Ybqxgddrc,137,129,210,171,97,144,122,96,124,113,190,141,232,260,320,340,380,514,526,659,546
Happy New Year,ABBA,1980,7nvmxaLf5hq9ZDTIMME27m,138,382,349,503,426,320,417,402,225,330,552,552,619,643,815,771,911,851,894,892,758
Kiss From A Rose,Seal,1994,3YKptz29AsOlm7WAVnztBh,139,262,389,227,222,270,384,337,465,329,376,344,332,396,329,299,280,307,320,440,517
Barcelona,Freddie Mercury & Montserrat Caballé,1987,4XfpGU17CU9MNd0BY0fukk,140,134,189,160,186,251,201,180,181,175,241,147,162,105,200,249,296,302,211,143,176
Proud Mary,Ike & Tina Turner,1971,5YI7v4VBa23fbEt9wuUmkg,141,132,168,144,136,114,139,139,223,138,205,193,182,225,224,202,268,277,250,180,172
How You Gonna See Me Now,Alice Cooper,1979,0spN4UlSI0X6YSYCWpSzgz,142,136,91,128,168,132,166,289,170,163,414,248,368,711,626,603,807,708,654,789,953
Do They Know It's Christmas,Band Aid,1984,0247StOpd3AkeBQzANX4Zf,143,137,277,298,612,203,709,815,934,563,992,985,1203,1262,1225,673,908,1149,1192,1329,1138
Hurricane,Bob Dylan,1975,1lqMLr9Wj7SM2F9AikGcxN,144,56,56,66,83,60,66,70,55,61,58,58,70,95,73,115,127,100,133,160,208
Du,Peter Maffay,1971,6fFshpRdAV1MHSpzXP3Yyk,145,170,223,210,133,206,221,136,173,153,147,160,180,234,268,278,332,303,266,326,270
White Rabbit,Jefferson Airplane,1970,4vpeKl0vMGdAXpZiQB2Dtd,146,104,175,155,125,155,178,199,265,172,235,287,272,284,223,239,291,301,281,318,352
Vienna,Ultravox,1981,3cbLm923IeoVDOMEPOfosc,147,106,136,138,152,220,272,290,387,242,220,264,349,378,359,310,366,315,322,397,419
I Want You,Elvis Costello,1986,1VN8ew9KECPqYS3sVbnZRr,148,200,289,140,161,154,160,181,239,168,285,220,297,352,302,297,406,434,465,564,712
Margherita,Marco Borsato,1996,6sj0WDZqMpF84OjTHBwjiw,149,156,152,147,142,98,131,105,160,128,129,187,175,226,289,354,228,374,471,420,459
Forever Young,Alphaville,1984,4S1VYqwfkLit9mKVY3MXoo,150,100,70,69,68,102,97,131,95,96,187,149,195,266,253,281,284,280,235,298,305
Kronenburg Park,Frank Boeijen,1985,5l0mUA4hwewx7cj8KzBGGE,151,93,133,139,119,145,132,130,162,134,159,170,230,247,230,274,289,308,237,225,189
The Logical Song,Supertramp,1979,6mHOcVtsHLMuesJkswc0GZ,152,154,198,158,252,288,342,366,422,317,453,474,421,452,319,403,363,395,354,356,286
California Dreamin',The Mamas & The Papas,1966,4s6LhHAV5SEsOV0lC2tjvJ,153,135,296,164,123,128,185,168,270,159,155,146,167,183,250,237,247,255,262,302,248
Englishman In New York,Sting,1988,4KFM3A5QF2IMcc6nHsu3Wp,154,280,272,234,219,252,322,249,332,256,331,262,260,230,194,317,242,242,240,196,207
Twilight Zone,Golden Earring,1982,3ztKHejzVoxJRKSZHFFMdJ,155,118,117,141,174,160,171,178,240,167,289,277,259,341,305,365,371,324,306,358,260
In A Gadda Da Vida,Iron Butterfly,1970,41TqRBgF4Ahyr4vGmZVk8b,156,148,333,291,148,268,307,331,372,272,387,398,500,461,558,541,638,787,772,1206,1100
Conquest Of Paradise,Vangelis,1995,5avVpUakfMHD6qGpaH26CF,157,231,251,248,190,280,356,326,366,290,357,372,313,316,396,304,362,482,497,614,651
Tell Him,Celine Dion & Barbra Streisand,1997,40SB4qvLi3KOHWM6kj8f94,158,303,273,323,506,385,375,437,477,414,748,659,856,1436,1606,1463,1659,,1354,1481,1519
Tubular Bells,Mike Oldfield,1974,7ERSQrRptZVM7q3VOdM7OL,159,178,211,257,316,302,291,291,536,332,335,336,299,346,366,416,513,680,575,747,819
Don't Dream It's Over,Crowded House,1987,7G7tgVYORlDuVprcYHuFJh,160,220,356,332,474,436,574,655,724,555,766,757,786,1053,793,1004,1046,726,681,783,764
I Want To Know What Love Is,Foreigner,1984,1JLn8RhQzHz3qDqsChcmBl,161,221,151,200,283,173,301,285,461,271,372,374,423,591,624,471,524,394,300,403,384
Aan De Kust,Bløf,1998,7yVyTfEMnR4p1LcAbo2uiF,162,57,64,121,91,95,111,123,104,100,176,173,239,155,255,319,320,311,314,384,394
Fantasy,"Earth, Wind & Fire",1978,0Eq4BMgsdV6DkLSJfX8eBt,163,180,201,230,305,279,317,355,355,304,286,205,327,326,347,381,358,366,370,479,530
Worn Down Piano,Mark & Clark Band,1977,2tfF0ihNIYnh64wJoLhtZZ,164,78,66,59,72,81,64,73,83,72,95,80,127,107,125,112,136,216,275,289,274
The Boxer,Simon & Garfunkel,1969,76TZCvJ8GitQ2FA1q5dKu0,165,212,178,174,221,197,200,193,307,205,180,166,141,120,123,144,162,134,140,154,156
Jimmy,Boudewijn De Groot,1973,2KnUzGNwvIjGXdq6AK4SxD,166,167,138,116,141,168,163,218,260,179,375,449,506,543,541,724,696,618,721,675,638
Roll Over Lay Down (Live),Status Quo,1975,2YH14o1jLDtgEih3VWeFYV,167,160,89,136,172,226,150,220,328,196,295,330,372,492,442,438,599,561,581,686,631
The Fool On The Hill,Beatles,1967,6rHh8urosEFRI67xVa6fzU,168,190,294,137,199,209,196,203,189,183,256,221,291,389,510,487,550,798,715,730,857
Like A Rollin' Stone,Bob Dylan,1965,3AhXZa8sUQht0UEdBJgpGc,169,88,195,215,200,110,133,138,100,125,149,174,174,253,233,261,279,345,385,598,643
Walk Of Life,Dire Straits,1985,423o3ZHIaBtGXyhF1uH41a,170,213,147,173,164,178,207,210,244,192,329,315,341,309,306,355,353,320,328,265,232
Don't Give Up,Peter Gabriel & Kate Bush,1986,1iwIgKh4fv0HDeUEEvuRBN,171,162,183,172,213,193,155,194,238,184,255,219,279,237,238,190,254,309,302,295,341
Graceland,Paul Simon,1987,0qxYx4F3vm1AOnfux6dDxP,172,205,170,187,225,238,193,223,286,217,218,180,200,161,185,207,216,175,213,279,313
Graceland,Paul Simon,1987,0qxYx4F3vm1AOnfux6dDxP,172,205,170,187,225,238,193,223,286,217,218,180,200,161,185,207,216,175,213,279,762
You Can Call Me Al,Paul Simon,1986,0qxYx4F3vm1AOnfux6dDxP,635,601,135,640,874,927,679,955,1238,837,927,1061,868,679,577,693,709,607,713,676,313
You Can Call Me Al,Paul Simon,1986,0qxYx4F3vm1AOnfux6dDxP,635,601,135,640,874,927,679,955,1238,837,927,1061,868,679,577,693,709,607,713,676,762
Billie Jean,Michael Jackson,1983,130YDbyVo4jmDAzv18xn2k,173,422,310,313,315,222,239,260,370,266,27,64,96,83,132,128,126,123,113,82,130
Eagle,ABBA,1978,0ofI7zAV865oByamlFk53U,174,114,90,94,89,129,100,135,89,104,162,165,194,208,282,243,348,375,299,385,325
A Horse With No Name,America,1972,54eZmuggBFJbV7k248bTTt,175,245,141,96,109,135,119,155,113,126,199,184,244,223,297,334,385,328,347,347,391
The Last Resort,Eagles,1976,0MrZG1nTNQVzeSJKi6gFVF,176,101,59,48,29,48,30,35,26,30,38,39,64,66,60,55,78,108,104,139,141
Voor Haar,Frans Halsema,1977,5oSNx87hsjk0Nz0pdQcdct,177,141,123,127,110,100,50,56,36,53,69,57,98,109,88,110,115,151,132,179,184
Wereld Zonder Jou,Marco Borsato & Trijntje Oosterhuis,1997,0exUHYMuQVGTg6KlLz0CXg,178,230,206,342,343,182,235,342,579,311,443,793,1099,1410,1023,1454,1517,,,1132,1026
